ID,Title,Created Date,Updated Date,Author,Commits,Changed Files,Additions,Deletions,Status
477,Fix lockfile,2024-04-17 17:18:23+00:00,2024-04-18 14:28:07+00:00,Christian24,1,1,5,5,Close
475,Prevent duplicate TokenCalcHandler callbacks on Agent,2024-04-16 15:46:53+00:00,2024-04-16 18:54:03+00:00,jackhayter,1,1,7,3,Close
474,Added optional manager_agent parameter,2024-04-16 10:46:24+00:00,2024-04-16 11:18:36+00:00,noggynoggy,2,1,15,8,Close
472,Fixed typo in Tools.md,2024-04-15 22:03:32+00:00,2024-04-25 12:58:03+00:00,hyldmo,1,1,2,2,Close
468,Update LLM-Connections.md with up to date LM Studio instructions,2024-04-13 15:22:02+00:00,2024-04-16 11:20:56+00:00,pbadeer,1,1,3,3,Close
461,fix: link to observability,2024-04-11 09:03:32+00:00,2024-04-16 11:22:21+00:00,jonathanmv,1,1,1,1,Close
458,Incorrect documentation link for AgentOps,2024-04-11 05:21:04+00:00,2024-04-16 11:24:30+00:00,areibman,10,6,43,27,Close
446,Novo translation pt-BR,2024-04-08 22:42:35+00:00,2024-05-05 06:02:02+00:00,jowpereira,1,1,37,0,Close
443,fix: swapped the task callback assignment,2024-04-08 12:41:38+00:00,2024-04-16 18:54:43+00:00,bastulli,1,1,1,1,Close
442,Update README.md,2024-04-08 06:39:10+00:00,2024-04-08 08:59:05+00:00,Cfomodz,1,1,2,2,Close
436,The suggestions were getting split at character level and not at sentence level,2024-04-06 20:07:45+00:00,2024-04-07 05:57:24+00:00,rajib76,2,1,1,1,Close
432,Added trasnlation to 'pt-BR',2024-04-05 23:48:30+00:00,2024-05-05 06:02:12+00:00,freirefx,1,1,34,0,Close
428,fix/color_change,2024-04-05 21:25:20+00:00,2024-04-05 21:26:03+00:00,GabeKoga,1,3,12,12,Close
423,Feature: Log files,2024-04-04 19:20:36+00:00,2024-04-05 22:44:53+00:00,GabeKoga,2,7,231,5,Close
420,Update Creating-a-Crew-and-kick-it-off.md: add compatible python versions,2024-04-03 21:22:05+00:00,2024-04-22 21:12:38+00:00,ftoppi,2,1,1,1,Close
412,AgentOps Docs,2024-04-02 22:35:11+00:00,2024-04-04 18:09:31+00:00,bboynton97,4,5,78,1,Close
411,AgentOps Implementation,2024-04-02 22:19:32+00:00,2024-04-20 15:20:13+00:00,bboynton97,32,4,13,0,Close
409,Stop overwriting LLM callback #408,2024-04-02 21:32:19+00:00,2024-04-05 22:45:57+00:00,rakeshgohel01,1,1,4,2,Close
407,whitespace consistency across docs,2024-04-02 20:28:28+00:00,2024-04-06 06:45:00+00:00,ruebenramirez,2,2,51,51,Close
406,tasks.py: don't call Converter when model response is valid,2024-04-02 17:53:42+00:00,2024-04-04 13:16:15+00:00,ftoppi,3,1,10,0,Close
404,Feature/human input,2024-04-01 14:22:45+00:00,2024-04-01 14:29:59+00:00,GabeKoga,8,7,450,12,Close
401,Enable telemetry opt-out #254,2024-03-30 21:59:36+00:00,2024-03-30 22:07:20+00:00,gardner,1,1,2,0,Close
395,feature: human input per task,2024-03-28 20:51:35+00:00,2024-04-01 13:05:00+00:00,GabeKoga,9,7,449,12,Close
391,Update README.md,2024-03-28 15:17:30+00:00,2024-03-30 14:56:09+00:00,eltociear,1,1,1,1,Close
390,Update GitHubSearchTool.md,2024-03-28 08:11:21+00:00,2024-04-05 05:49:12+00:00,kenchambers,1,1,9,9,Close
389,Add French translation,2024-03-27 23:48:43+00:00,2024-04-22 21:12:40+00:00,ftoppi,1,1,33,0,Close
385,Update ScrapeWebsiteTool.md,2024-03-27 13:52:07+00:00,2024-03-30 14:57:08+00:00,kjenney,1,1,4,0,Close
373,[AUG] Add solar connect example,2024-03-23 05:36:13+00:00,2024-04-05 22:48:28+00:00,Tokkiu,2,1,12,2,Close
369,Fix input interpolation bug,2024-03-22 00:47:36+00:00,2024-03-22 06:08:57+00:00,gvieira,1,4,63,5,Close
368,Custom model docs,2024-03-22 00:12:22+00:00,2024-03-22 06:01:58+00:00,gvieira,1,17,440,88,Close
363,Add missing documentation to Task model,2024-03-20 20:07:58+00:00,2024-04-05 22:49:37+00:00,shivamjagdishsingh,1,1,17,1,Close
361,Fixed: use absolute import-run main as app,2024-03-19 21:19:29+00:00,2024-04-01 13:06:13+00:00,GabeKoga,2,2,10,8,Close
359,Update LLM-Connections.md,2024-03-19 07:44:04+00:00,2024-04-19 05:39:33+00:00,selimhanerhan,2,1,65,1,Close
357,Update GitHubSearchTool.md,2024-03-18 17:22:51+00:00,2024-04-19 05:40:39+00:00,kaushalpowar,2,1,3,3,Close
353,Update LLM-Connections.md - fix typo,2024-03-16 08:17:33+00:00,2024-04-19 05:41:36+00:00,sajal2692,2,1,2,2,Close
350,Update README.md,2024-03-15 14:24:22+00:00,2024-04-19 05:43:13+00:00,erickthered,1,1,2,0,Close
349,Fix Typo in README: Correct 'mode' to 'model',2024-03-15 02:41:59+00:00,2024-04-19 05:42:05+00:00,crownemmanuel,1,1,2,1,Close
348,Add version command to CLI,2024-03-14 11:44:43+00:00,2024-05-15 22:50:50+00:00,whoabuddy,3,2,38,0,Close
345,fix typos in generated readme,2024-03-13 20:15:39+00:00,2024-05-02 06:32:19+00:00,whoabuddy,1,1,4,4,Close
339,Allow minor version patches to `python-dotenv`,2024-03-12 14:34:32+00:00,2024-04-19 05:44:09+00:00,Elijas,2,1,1,1,Close
337,Docs - fixing doc for the new crewai_tools,2024-03-12 11:55:05+00:00,2024-05-02 06:31:56+00:00,DaviRolim,1,2,2,2,Close
335,docs: fix formatting in `Human-Input-on-Execution.md`,2024-03-11 12:23:44+00:00,2024-03-11 19:38:59+00:00,anselm94,1,1,6,2,Close
333,added langchain callback to agents,2024-03-09 21:00:12+00:00,2024-05-13 12:23:25+00:00,chrispangg,1,2,13,0,Close
331,Update Crews.md,2024-03-09 03:40:10+00:00,2024-03-11 19:40:46+00:00,bllchmbrs,1,1,1,0,Close
326,Update Tools.md,2024-03-07 13:44:33+00:00,2024-03-11 19:41:14+00:00,baktakt,2,1,3,3,Close
313,Update Human-Input-on-Execution.md,2024-03-04 21:10:45+00:00,2024-03-11 19:43:17+00:00,telepath,1,1,1,2,Close
